STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/15/2000,0,,,58,66,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/16/2000,0,,,62,73,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/17/2000,0,,,66,80,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/18/2000,0.01,,,57,61,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/19/2000,0,,,59,65,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/20/2000,0,,,62,74,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/21/2000,0,,,63,69,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/22/2000,0,,,60,67,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/23/2000,0,,,60,69,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/24/2000,0.01,,,61,69,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/25/2000,0,,,67,80,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/26/2000,0,,,70,83,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/27/2000,0,,,73,88,58
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/28/2000,0,,,73,87,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/29/2000,0,,,63,72,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/30/2000,0.01,,,60,66,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/1/2000,0.04,,,60,66,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/2/2000,0.06,,,58,65,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/3/2000,0.02,,,57,62,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/4/2000,0,,,60,67,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/5/2000,0,,,61,72,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/6/2000,0,,,63,72,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/7/2000,0,,,65,77,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/8/2000,0,,,61,68,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/9/2000,0,,,62,68,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/10/2000,0,,,62,71,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/11/2000,0,,,63,71,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/12/2000,0,,,,77,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/13/2000,0,,,64,72,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/14/2000,0,,,62,69,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/15/2000,0,,,63,74,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/16/2000,0,,,69,82,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/17/2000,0,,,69,82,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/18/2000,0,,,62,69,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/19/2000,0,,,65,77,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/20/2000,0,,,68,80,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/21/2000,0,,,70,83,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/22/2000,0.11,,,60,63,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/23/2000,0,,,66,74,58
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/24/2000,0,,,68,79,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/25/2000,0,,,64,72,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/26/2000,0,,,63,72,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/27/2000,0,,,69,78,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/28/2000,0,,,67,73,60
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/29/2000,0,,,70,81,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/30/2000,0,,,74,85,62
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",7/31/2000,0,,,68,79,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/1/2000,0,,,68,77,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/2/2000,0,,,65,78,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/3/2000,0,,,67,79,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/4/2000,0,,,71,83,58
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/5/2000,0,,,69,81,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/6/2000,0,,,64,72,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/7/2000,0,,,65,73,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/8/2000,0,,,68,82,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/9/2000,0,,,62,70,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/10/2000,0,,,62,70,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/11/2000,0,,,62,70,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/12/2000,0,,,64,74,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/13/2000,0,,,61,70,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/14/2000,0,,,59,68,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/15/2000,0,,,59,67,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/16/2000,0,,,63,73,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/17/2000,0,,,62,73,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/18/2000,0.28,,,60,65,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/19/2000,0,,,61,68,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/20/2000,0,,,64,73,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/21/2000,0,,,65,75,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/22/2000,0,,,68,80,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/23/2000,0,,,70,83,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/24/2000,0,,,64,71,56
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/25/2000,0.01,,,66,74,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/26/2000,0.01,,,62,68,55
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",8/27/2000,0,,,61,68,53
